id,customer_id,transaction_date,transaction_time,product_id,quantity,unit_price,discount_amount,total_amount,payment_method,payment_status,store_id,employee_id
45231,90123,2023-11-15,14:23:45,14,3,49.99,10.5,139.47,Credit Card,Completed,237,5621
45232,89012,2023-11-15,15:45:12,2,1,299.99,0.0,299.99,Debit Card,Completed,456,7234
45233,45678,2023-11-15,16:12:33,10,2,79.5,15.9,143.1,Cash,Completed,189,3456
45234,11234,2023-11-15,17:34:56,1,5,19.99,25.0,74.95,Gift Card,Pending,512,8901
45235,45678,2023-11-15,18:01:22,24,1,599.99,50.0,549.99,Mobile Payment,Completed,673,2345
45236,67890,2023-11-15,19:15:44,18,4,34.5,20.4,118.6,Store Credit,Failed,294,6789
45237,90123,2023-11-15,20:22:11,9,2,129.99,30.0,229.98,Credit Card,Partially Refunded,837,4567
45238,34567,2023-11-15,21:45:33,7,3,89.75,40.0,229.25,Debit Card,Refunded,412,9012
45239,56789,2023-11-15,22:33:55,22,1,249.99,0.0,249.99,Cash,Completed,556,1234
45240,67890,2023-11-15,23:11:07,21,6,14.5,15.6,71.4,Gift Card,Completed,219,5678
45241,23456,2023-11-16,09:44:21,12,2,179.99,45.0,314.98,Mobile Payment,Completed,745,2345
45242,11234,2023-11-16,10:56:43,11,4,59.99,35.96,204.0,Store Credit,Pending,382,7890
45243,90123,2023-11-16,11:22:09,16,1,449.99,100.0,349.99,Credit Card,Completed,619,3456
45244,12345,2023-11-16,12:33:54,5,3,69.5,25.5,183.0,Debit Card,Completed,247,8901
45245,56789,2023-11-16,13:11:36,4,5,24.99,37.5,87.45,Cash,Partially Refunded,531,4567
45246,12345,2023-11-16,14:45:02,6,2,129.99,50.0,209.98,Gift Card,Completed,916,9012
45247,56789,2023-11-16,15:33:27,2,1,799.99,200.0,599.99,Mobile Payment,Failed,462,1234
45248,45678,2023-11-16,16:22:41,25,4,44.5,30.0,148.0,Store Credit,Refunded,275,5678
45249,89012,2023-11-16,17:56:19,14,3,89.99,45.0,224.97,Credit Card,Completed,684,2345
45250,90123,2023-11-16,18:44:55,25,1,349.99,75.0,274.99,Debit Card,Completed,329,7890
