id,customer_id,order_date,status,total_amount
1,2,2023-06-15,Delivered,248.75
2,1,2023-06-16,Processing,129.5
3,7,2023-06-14,Shipped,345.2
4,6,2023-06-17,New,87.3
5,4,2023-06-13,Delivered,456.9
6,5,2023-06-15,Processing,212.45
7,2,2023-06-16,Shipped,167.8
8,9,2023-06-14,New,93.6
9,9,2023-06-17,Delivered,276.4
10,7,2023-06-15,Cancelled,55.2
11,7,2023-06-13,Processing,189.75
12,2,2023-06-16,Shipped,422.3
13,10,2023-06-14,New,76.5
14,6,2023-06-17,Delivered,534.6
15,3,2023-06-15,Processing,145.9
16,7,2023-06-13,Shipped,267.4
17,8,2023-06-16,New,102.75
18,9,2023-06-14,Delivered,389.2
19,6,2023-06-17,Cancelled,67.3
20,7,2023-06-15,Processing,224.6
21,3,2023-06-13,Shipped,298.75
22,4,2023-06-16,New,115.4
23,1,2023-06-14,Delivered,467.9
24,7,2023-06-17,Processing,156.3
25,8,2023-06-15,Shipped,321.6
26,7,2023-06-13,New,89.75
27,4,2023-06-16,Delivered,512.4
28,10,2023-06-14,Cancelled,62.9
29,4,2023-06-17,Processing,203.5
30,3,2023-06-15,Shipped,376.8
