payment_id,claim_id,payment_date,payment_amount,status
1,13,2024-01-15,1500.0,Paid
2,14,2024-01-16,2500.5,Paid
3,1,2024-01-17,3200.75,Paid
4,10,2024-01-18,1800.0,Pending
5,16,2024-01-19,2100.25,Paid
6,16,2024-01-20,4500.0,Paid
7,10,2024-01-21,2750.5,Paid
8,19,2024-01-22,3100.0,Paid
9,15,2024-01-23,1950.75,Rejected
10,7,2024-01-24,2300.0,Paid
11,19,2024-01-25,5000.0,Paid
12,15,2024-01-26,1600.5,Paid
13,19,2024-01-27,2900.25,Paid
14,4,2024-01-28,3500.0,Pending
15,2,2024-01-29,2200.75,Paid
16,9,2024-01-30,4200.0,Paid
17,13,2024-01-31,1750.5,Paid
18,7,2024-02-01,3300.0,Paid
19,6,2024-02-02,2650.25,Paid
20,10,2024-02-03,3800.0,Paid
