order_id,customer_id,order_date,status,shipping_method,total_amount
1,186,2025-04-08,processing,Standard Ground,7844.31
2,83,2026-02-15,processing,Express Overnight,8584.03
3,151,2024-08-10,shipped,2-Day Shipping,2264.06
4,131,2026-05-16,delivered,Priority Mail,2693.16
5,194,2025-12-16,delivered,First Class Mail,6586.07
6,47,2026-06-07,delivered,USPS Ground Advantage,7779.11
7,53,2024-11-13,delivered,UPS Ground,2145.99
8,70,2026-03-13,shipped,UPS Next Day Air,2456.65
9,67,2026-03-10,processing,UPS 2nd Day Air,9107.22
10,109,2025-01-10,processing,FedEx Standard Overnight,559.31
11,23,2026-01-22,delivered,FedEx 2Day,4129.23
12,114,2025-10-09,processing,FedEx Ground,3260.74
13,2,2024-10-03,processing,FedEx Home Delivery,908.48
14,106,2026-04-19,delivered,DHL Express,8770.79
15,121,2024-09-07,cancelled,DHL Ground,5059.02
16,148,2024-09-29,shipped,In-Store Pickup,8322.11
17,7,2025-01-18,delivered,Curbside Pickup,406.78
18,133,2025-05-08,shipped,Same-Day Delivery,8939.75
19,90,2026-04-22,cancelled,Next-Day Delivery,8896.43
20,41,2026-01-24,delivered,Economy Shipping,3233.44
21,169,2025-03-01,delivered,Regular Delivery,5095.54
22,197,2025-08-13,shipped,Expedited Shipping,269.9
23,140,2024-09-20,shipped,Overnight Shipping,9845.69
24,44,2025-12-08,delivered,Parcel Post,8113.82
25,119,2024-08-20,pending,Registered Mail,7046.05
26,131,2025-01-31,shipped,Certified Mail,8250.47
27,49,2025-09-30,shipped,Special Delivery,7339.28
28,158,2026-02-08,shipped,Local Delivery,829.43
29,75,2026-02-26,delivered,Regional Delivery,1373.58
30,125,2024-12-22,delivered,International Standard,3843.8
31,94,2025-11-18,shipped,International Express,8004.59
32,128,2025-03-15,processing,International Priority,9508.39
33,83,2025-10-27,delivered,Flat Rate Box,9149.64
34,24,2024-10-09,delivered,Padded Flat Rate Envelope,3487.09
35,31,2025-08-04,shipped,Large Flat Rate Box,2919.86
36,86,2026-06-07,shipped,Regional Rate Box,1636.51
37,33,2025-10-22,delivered,Smartpost,9712.92
38,195,2025-10-17,delivered,Laser Ship,5639.02
39,15,2026-05-27,shipped,OnTrac,484.1
40,15,2026-03-29,cancelled,Amazon Prime,9683.36
41,76,2025-08-19,processing,Amazon Prime 2-Hour,8156.8
42,104,2024-06-18,processing,Whole Foods Delivery,8487.39
43,42,2025-12-26,delivered,Walmart+ Delivery,1268.58
44,77,2026-05-22,delivered,Target Same Day,4370.33
45,42,2025-05-04,delivered,Best Buy Home Delivery,9938.92
46,183,2026-01-13,shipped,White Glove Service,756.63
47,173,2024-11-22,delivered,Freight Shipping,4095.4
48,153,2024-08-25,delivered,Truck Delivery,1121.19
49,123,2025-12-29,delivered,Parcel Locker Pickup,7668.39
50,57,2025-07-05,delivered,Digital Delivery,7841.96
51,193,2024-07-17,shipped,Standard Ground,8155.3
52,44,2025-01-22,delivered,Express Overnight,7512.48
53,165,2025-11-14,pending,Priority Mail,730.82
54,56,2024-08-02,shipped,FedEx 2-Day,9680.2
55,90,2024-07-15,delivered,UPS Ground,7375.57
56,190,2024-07-29,delivered,USPS First Class,7777.43
57,41,2024-12-05,processing,DHL International,1389.9
58,105,2024-12-10,delivered,Same-Day Delivery,3226.33
59,38,2025-02-09,pending,Expedited Shipping,4006.63
60,25,2024-07-25,delivered,Economy Ground,9205.03
61,42,2024-10-06,shipped,Regional Ground,1996.86
62,117,2024-09-27,delivered,Next-Day Air,7064.81
63,159,2025-11-05,shipped,Ground Advantage,1586.27
64,56,2026-04-23,delivered,Parcel Select,4946.5
65,60,2026-02-05,shipped,USPS Priority Express,5405.5
66,178,2025-09-14,pending,FedEx Home Delivery,7655.21
67,13,2025-02-18,shipped,UPS 2nd Day Air,2422.27
68,32,2026-05-06,shipped,UPS Next Day Air,7941.18
69,16,2025-07-26,processing,USPS Retail Ground,524.34
70,169,2024-06-15,delivered,Local Pickup,8157.87
71,16,2025-12-28,processing,Courier Service,9493.42
72,98,2024-12-27,delivered,International Standard,3541.33
73,121,2025-12-04,shipped,International Express,3232.84
74,182,2025-06-05,shipped,Overnight Shipping,8317.3
75,116,2025-10-12,pending,3-Day Shipping,4100.92
76,149,2024-12-26,shipped,5-Day Shipping,9706.55
77,165,2026-04-13,pending,Standard Shipping,7245.3
78,22,2026-02-10,processing,Premium Delivery,7491.97
79,90,2025-02-20,processing,White Glove Delivery,3098.07
80,103,2026-04-23,delivered,Freight Shipping,4211.92
81,137,2025-04-08,pending,Signature Required,3440.22
82,119,2024-12-16,processing,Fragile Handling,922.99
83,196,2024-08-16,shipped,Expedited Ground,4249.75
84,178,2026-01-01,delivered,Regional Overnight,4431.3
85,22,2024-12-06,cancelled,DHL Express,2140.53
86,136,2025-07-19,shipped,DHL Standard,6172.89
87,168,2024-07-12,processing,Amazon Prime Delivery,5127.23
88,171,2025-11-30,pending,Store Pickup,9467.19
89,146,2024-08-12,shipped,Curbside Pickup,6901.58
90,87,2025-06-24,processing,In-Store Pickup,8467.96
91,107,2025-07-21,processing,Drive-Up Delivery,4868.76
92,78,2025-06-15,delivered,Scheduled Delivery,5517.26
93,38,2026-03-18,delivered,Flat Rate Shipping,2124.7
94,81,2026-04-27,processing,Variable Rate Shipping,9110.98
95,59,2025-09-21,shipped,Bulk Shipping,1674.87
96,47,2025-07-05,delivered,Drop Ship,6515.59
97,5,2024-12-19,delivered,Vendor Direct Shipping,3216.14
98,182,2025-07-24,delivered,Third-Party Logistics,187.26
99,13,2026-01-19,delivered,Consolidated Shipping,6974.38
100,170,2025-02-18,delivered,Eco-Friendly Shipping,9079.56
101,20,2025-07-01,delivered,Standard Ground Shipping,9399.12
102,19,2026-04-03,delivered,Express Overnight,606.6
103,66,2026-01-28,shipped,2-Day Priority,467.35
104,76,2026-03-25,delivered,Ground Delivery,6785.57
105,64,2025-01-14,processing,First Class Mail,4426.0
106,110,2026-01-28,processing,Priority Mail Express,4843.65
107,34,2024-12-26,processing,UPS Ground,2842.11
108,149,2025-04-11,processing,FedEx Ground,7743.92
109,86,2024-09-22,delivered,DHL Express,3158.05
110,118,2026-03-05,processing,USPS Priority,9446.54
111,147,2026-05-27,delivered,Expedited Shipping,5101.59
112,18,2025-07-07,delivered,Standard Delivery,5810.0
113,172,2026-05-25,pending,Overnight Shipping,4324.8
114,72,2026-04-01,pending,Economy Shipping,4384.25
115,75,2025-12-10,shipped,International Standard,1637.14
116,156,2026-02-11,delivered,International Express,816.91
117,83,2025-11-21,delivered,Same-Day Delivery,4654.36
118,88,2024-07-24,processing,Next-Day Delivery,6624.09
119,157,2025-03-09,cancelled,3-Day Shipping,9887.7
120,36,2025-08-25,shipped,5-Day Shipping,2406.16
121,174,2026-02-02,processing,Local Pickup,7378.82
122,85,2026-03-06,delivered,In-Store Pickup,359.33
123,121,2025-08-23,shipped,Curbside Pickup,701.24
124,174,2024-07-05,delivered,Regional Delivery,127.34
125,70,2026-05-02,shipped,Cross-Border Shipping,3794.82
126,132,2024-10-28,shipped,Parcel Post,1779.54
127,34,2025-09-25,shipped,Registered Mail,4298.29
128,166,2024-12-19,delivered,Certified Mail,3193.05
129,60,2025-04-26,processing,Special Handling,5525.61
130,185,2025-04-22,delivered,Fragile Goods Shipping,9081.55
131,170,2026-05-31,shipped,Oversized Item Delivery,344.7
132,134,2025-09-08,delivered,White Glove Delivery,6466.81
133,165,2025-11-16,delivered,Scheduled Delivery,5592.49
134,114,2025-05-22,shipped,Courier Service,9976.79
135,83,2025-02-05,delivered,Freight Shipping,775.47
136,78,2025-12-02,cancelled,Bulk Shipping,3377.7
137,26,2025-11-13,delivered,Drop Shipping,6650.51
138,68,2024-07-06,cancelled,Fulfillment Center Delivery,5325.42
139,103,2025-12-30,delivered,Third-Party Logistics,5704.14
140,37,2026-04-09,pending,Military Mail,7953.55
141,191,2024-09-09,delivered,Rural Delivery,6814.63
142,117,2024-08-09,pending,Island Delivery,7421.03
143,194,2025-07-23,delivered,Mountain Delivery,3131.36
144,37,2025-03-19,shipped,Temperature Controlled Shipping,9280.3
145,149,2024-12-17,delivered,Hazmat Shipping,5689.85
146,124,2025-07-31,shipped,Signature Required,4969.44
147,11,2025-11-14,cancelled,Insured Delivery,4632.59
148,43,2025-02-18,delivered,Premium Express,7295.05
149,1,2025-02-12,delivered,Economy Ground,1732.41
150,45,2025-10-06,processing,Weekend Delivery,4795.42
151,184,2025-04-24,processing,Standard Ground,8999.23
152,1,2024-11-10,processing,Express Overnight,3135.1
153,103,2024-09-12,delivered,Priority Mail,7141.12
154,181,2024-07-04,delivered,2-Day Shipping,4019.93
155,92,2026-06-03,pending,FedEx Ground,877.14
156,59,2024-10-02,shipped,UPS Express,9518.47
157,84,2025-07-18,shipped,USPS Priority,9968.88
158,145,2025-07-02,pending,DHL International,2104.04
159,184,2025-12-06,processing,Local Pickup,4115.45
160,183,2024-11-05,delivered,Store Pickup,4661.74
161,74,2024-08-31,pending,Same-Day Delivery,5224.89
162,75,2024-09-27,shipped,Next-Day Delivery,1841.22
163,1,2025-02-20,cancelled,Economy Shipping,6373.9
164,174,2024-08-03,shipped,Standard Shipping,482.59
165,84,2025-09-16,delivered,Expedited Shipping,2716.84
166,25,2025-04-25,delivered,International Mail,505.93
167,165,2024-08-11,shipped,Courier Service,4675.14
168,73,2025-05-19,delivered,Parcel Post,5461.89
169,72,2025-08-23,delivered,First Class Mail,4449.82
170,79,2026-05-15,shipped,Media Mail,1558.54
171,148,2024-11-26,delivered,Regional Ground,7105.63
172,43,2024-07-29,shipped,White Glove Delivery,2682.98
173,142,2024-11-02,delivered,Freight Shipping,8988.6
174,27,2025-02-08,pending,Curbside Delivery,5718.81
175,11,2024-10-04,delivered,In-Store Delivery,8066.91
176,51,2024-09-10,delivered,Drive-Up Pickup,4103.02
177,144,2024-09-15,delivered,Scheduled Delivery,5715.17
178,169,2026-02-11,delivered,Weekend Delivery,7970.22
179,66,2026-02-10,pending,Evening Delivery,2584.82
180,122,2025-09-29,delivered,Morning Delivery,9700.49
181,69,2026-03-27,delivered,FedEx 2Day,331.08
182,172,2024-12-23,pending,UPS Ground,3805.12
183,153,2024-09-30,pending,UPS 3-Day Select,8464.53
184,38,2024-08-18,shipped,Amazon Prime,4990.38
185,173,2024-10-30,processing,Amazon Fresh,8883.22
186,28,2024-09-01,delivered,Shopify Fulfillment,5594.71
187,148,2025-02-05,cancelled,Drop Ship,3460.6
188,166,2025-06-16,delivered,Warehouse Pickup,6392.7
189,86,2026-04-28,delivered,Hub Pickup,6127.88
190,15,2025-04-15,delivered,Partner Shipping,5545.33
191,31,2025-03-18,delivered,Third-Party Logistics,6793.96
192,115,2026-04-28,processing,Consolidated Shipping,8836.79
193,118,2025-08-07,shipped,Standard International,2077.31
194,192,2025-04-12,delivered,Express International,4350.98
195,112,2024-06-17,processing,Economy International,7993.84
196,175,2024-09-14,processing,Air Mail,39.24
197,30,2026-02-16,processing,Sea Mail,2907.92
198,199,2025-08-15,processing,Ground Parcel,5499.22
199,158,2024-07-22,delivered,Flat Rate Box,3077.25
200,14,2024-07-07,cancelled,Variable Rate,9137.03
201,60,2026-01-14,shipped,Standard Ground Shipping,3296.69
202,190,2026-03-16,shipped,Express Overnight,7817.3
203,98,2025-02-11,pending,2-Day Shipping,272.54
204,155,2025-06-02,processing,Priority Mail,9256.54
205,135,2024-11-19,delivered,Ground Delivery,2314.95
206,101,2024-09-05,delivered,Expedited Shipping,5236.95
207,87,2024-10-04,delivered,Overnight Shipping,1119.49
208,129,2024-10-07,cancelled,Standard Delivery,9213.52
209,53,2024-08-18,delivered,FedEx Ground,7633.58
210,156,2024-12-26,processing,UPS Ground,7567.29
211,32,2026-04-23,processing,USPS Priority Mail Express,1011.67
212,69,2024-09-26,processing,DHL Express,4763.42
213,118,2025-08-06,shipped,Free Shipping,5671.34
214,7,2024-11-25,shipped,Store Pickup,5901.16
215,161,2024-12-08,delivered,Same-Day Delivery,9049.8
216,176,2024-12-12,shipped,Local Delivery,2254.16
217,90,2026-05-31,shipped,International Airmail,9117.89
218,133,2024-06-25,shipped,Economy Shipping,670.61
219,198,2025-04-24,delivered,Regular Parcel,6989.17
220,48,2026-05-29,shipped,Courier Service,2166.57
221,113,2026-05-29,pending,UPS Express Saver,1425.11
222,133,2026-05-22,shipped,FedEx 2Day,8914.27
223,22,2024-10-01,processing,USPS First Class,7912.78
224,104,2026-06-06,delivered,Parcel Post,4199.65
225,197,2025-05-28,delivered,Registered Mail,4188.51
226,4,2025-07-04,processing,Certified Mail,851.63
227,124,2025-12-15,delivered,Special Delivery,105.49
228,95,2026-02-04,shipped,Rush Shipping,3021.54
229,18,2025-05-19,delivered,Next Business Day,560.91
230,52,2025-11-19,processing,3-5 Business Days,7642.31
231,73,2024-12-27,shipped,5-7 Business Days,8576.69
