id,order_id,product_id,quantity,unit_price
1,3,4,2,29.99
2,20,14,1,49.99
3,2,10,3,15.5
4,23,14,1,89.99
5,25,6,5,12.99
6,5,1,2,34.5
7,9,7,1,199.99
8,15,6,4,22.75
9,17,4,2,29.99
10,8,11,1,75.0
11,22,9,3,18.99
12,5,13,2,15.5
13,21,8,1,125.0
14,17,12,4,12.99
15,3,8,2,45.99
16,15,8,1,49.99
17,25,11,3,21.5
18,4,5,1,34.5
19,14,9,1,159.99
20,9,7,2,22.75
21,3,15,1,199.99
22,2,12,5,9.99
23,16,5,1,29.99
24,3,15,2,89.99
25,9,4,1,18.99
26,14,11,3,35.5
27,24,9,2,15.5
28,7,14,1,250.0
29,14,4,4,12.99
30,6,14,2,65.75
31,3,5,1,75.0
32,6,15,3,28.5
33,13,15,1,49.99
34,24,4,1,150.0
35,16,5,2,34.5
36,19,4,4,19.99
37,17,8,1,22.75
38,6,14,2,55.0
39,12,12,1,199.99
40,8,12,3,26.75
41,19,8,1,29.99
42,10,1,1,175.0
43,9,2,2,89.99
44,15,3,5,14.5
45,17,8,1,18.99
46,4,4,2,42.75
47,16,13,3,15.5
48,6,9,1,299.99
49,12,8,2,12.99
50,11,9,4,37.5
