id,order_id,product_id,quantity,unit_price
1,13,6,5,19.99
2,23,14,2,45.5
3,18,6,3,12.75
4,12,7,1,89.99
5,7,14,6,7.25
6,15,5,4,33.4
7,18,3,2,55.2
8,8,1,3,22.99
9,22,7,1,149.99
10,5,7,5,8.5
11,12,11,4,41.25
12,16,11,2,67.8
13,13,12,3,15.6
14,11,9,6,9.99
15,14,11,2,88.5
16,25,14,1,129.75
17,20,2,5,18.25
18,18,1,3,36.4
19,17,5,4,52.99
20,25,4,2,75.6
21,17,4,1,199.99
22,20,3,6,11.5
23,19,15,3,44.75
24,1,6,2,63.2
25,7,15,5,16.99
26,11,3,4,29.5
27,23,15,2,95.4
28,25,14,1,169.99
29,10,10,6,7.8
30,8,12,3,42.25
31,20,3,4,37.6
32,2,15,2,81.5
33,24,3,1,249.99
34,11,9,5,14.75
35,13,2,3,56.2
36,6,15,6,9.5
37,25,6,2,67.99
38,5,8,4,25.4
39,1,6,1,179.5
40,4,15,5,13.25
41,3,4,3,48.6
42,17,12,2,92.75
43,21,11,6,8.99
44,20,11,4,35.5
45,9,1,2,76.25
46,20,15,1,189.99
47,6,4,5,17.6
48,14,10,3,43.75
49,16,9,4,59.5
50,4,7,2,84.99
